athlete_id,full_name,date_of_birth,gender,nationality,contact_info,status,created_at
1,Charles Davis,1995-04-13,Male,Portuguese,(509)926-0958x2955,active,2024-11-20T15:20:03
2,Christopher Santos,1997-07-03,Male,Spanish,(997)991-4933,active,2024-11-28T17:09:47
3,Jordan Burgess,2001-08-15,Male,English,3569471570,active,2025-12-04T19:05:03
4,Bryan Smith,1996-01-19,Male,German,860.487.6432,active,2023-11-28T16:20:46
5,Jesse Nguyen,2001-04-17,Male,German,(632)268-1404,retired,2024-02-01T04:25:31
6,Hannah Thompson,1997-06-21,Female,Nigerian,719-295-9348x39966,retired,2025-02-03T00:36:30
7,Sharon Evans,2004-01-29,Female,Moroccan,6444766263,active,2026-05-07T05:37:46
8,Marcus Ingram,2002-10-30,Male,English,+1-758-562-0439x83411,active,2023-10-02T05:57:31
9,Misty Lane,1996-09-28,Female,German,430-632-0976x21037,active,2023-05-25T08:37:43
10,Michael Alexander,1996-01-15,Male,English,001-238-360-8918,active,2026-02-18T22:03:08
11,Susan Richardson,2004-07-03,Female,Argentine,+1-593-414-1008x61450,retired,2024-03-25T04:57:19
12,Rachael Conrad,2004-01-19,Female,Pakistani,847-884-4917x0349,inactive,2024-02-17T12:14:27
13,Logan Garrett,2005-11-29,Male,South Korean,502-975-0913,inactive,2024-02-29T07:27:21
14,Jermaine Mckee,2001-03-11,Male,French,760-834-6127x658,retired,2026-01-02T20:23:50
15,April Carroll MD,2001-06-22,Female,German,6997525132,active,2025-08-07T07:04:35
16,Sean Frye,2002-06-01,Male,German,6585665930,active,2026-02-14T11:12:26
17,Donald Bruce,2004-08-04,Male,German,+1-540-554-8460x6457,active,2024-09-25T11:15:23
18,Jennifer Logan,1998-02-12,Female,Nigerian,662.707.8352x125,active,2024-05-06T07:01:29
19,Michael Murphy,1999-02-25,Male,Argentine,(239)710-4171,active,2026-01-29T14:35:00
20,Katrina Higgins DVM,2002-11-14,Female,South Korean,(963)773-2565x81855,active,2023-12-31T20:03:00
21,Robert Fisher,2000-12-27,Male,Portuguese,+1-810-389-9157x691,active,2024-07-24T14:24:12
22,Jordan Rodriguez,2000-03-08,Male,English,001-612-392-8522,active,2024-01-03T21:04:39
23,Charles Fields,2002-09-05,Male,Argentine,6442434324,active,2025-01-21T01:26:52
24,Richard Callahan,2004-03-20,Male,Pakistani,454-853-0387x9749,active,2024-07-26T01:33:58
